titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
"Merchant of Four Seasons, The (H?ndler der vier Jahreszeiten)",Kaspar Androlli,2008,15,Legal,75,JP,Okaya
Bigga Than Ben,Dimitri Greenhaugh,1998,80,Business Development,42,CN,Baojia
Kamome Diner,Querida Baszkiewicz,2012,93,Sales,9,PH,Klinan
"Bride with White Hair, The (Bai fa mo nu zhuan)",Shelli Hutton,1993,87,Business Development,57,CN,Tuanfeng
Home Sweet Hell,Gibbie Lambard,1990,77,Marketing,81,SY,Tall Rif?at
Bright Lights (Adventures in Africa),Ruthe Matous,2002,82,Product Management,81,CN,Jiaoziya
Philomena,Gabie Theseira,2001,13,Marketing,28,RU,Novokhovrino
Protector (Protektor),Corbin Furlow,1989,17,Sales,98,CN,Chengjiao
Cinderella Man,Darbie Terzza,2007,84,Support,4,CN,Taoyuan
"Sunset Limited, The",Otis Caulkett,2010,9,Engineering,51,PL,Lidzbark
Tipping the Velvet,Von Vasiltsov,1995,66,Support,9,US,New York City
Talking About Sex,Farr Gillam,2006,57,Research and Development,59,UA,Hupalivka
"Shanghai Gesture, The",Saunders Thowes,1993,2,Accounting,59,CN,Hongsipu
Inseparable,Barn Madigan,2004,9,Engineering,57,BR,Pancas
Show People,Wyndham Byrcher,2012,48,Services,26,GR,Dimits?na
"Name of the Rose, The (Name der Rose, Der)",Camellia Zorzenoni,1992,82,Legal,89,VN,Ti?n Ph??c
Out of Life (Hors la vie),Vasily Toma,2012,85,Business Development,79,PE,Bellavista
"Ugly, The",Miquela Itzkovwich,2009,29,Business Development,41,RS,Kikinda
"Sandlot, The",Mack Saich,1996,89,Research and Development,38,HR,?rnovo
Ironclad 2: Battle for Blood,Berte Pennazzi,2007,59,Engineering,84,ID,Congkar
3 Women (Three Women),Callida Abramovicz,1992,62,Services,1,CN,Buliu
A Night in the Show,Osmond Muckleston,1977,21,Research and Development,5,CN,Yangjia
"Town is Quiet, The (Ville est tranquille, La)",Billye Finnimore,1995,90,Research and Development,99,CN,Fengcheng
Presidentintekij?t,Corabel Anster,1995,76,Marketing,64,AM,Argavand
Rodan (Sora no daikaij? Radon),Amelie Fetterplace,2008,80,Legal,20,CN,Pingtan
White Night (Hvid nat),Almire Scathard,1988,11,Engineering,5,ID,Taman
"Place in the Sun, A",Wilow Ebrall,2003,24,Marketing,72,ID,Tuateta
Looking for Lenny,Tabatha Ferrotti,2006,21,Sales,69,DO,Fantino
"Love Movie, The (Rakkauselokuva)",Bryan St. Quentin,2005,34,Product Management,73,RU,Korkino
For a Lost Soldier (Voor een Verloren Soldaat),Gerhard Wiltshaw,1990,75,Legal,90,GT,San Pedro Jocopilas
Minuscule: Valley of the Lost Ants (Minuscule - La vall?e des fourmis perdues),Chic Domotor,2010,46,Business Development,93,PL,?widwin
"Brady Bunch Movie, The",Cassandra Hallsworth,2004,74,Support,90,US,Orlando
Love and Other Drugs,Justinian Causton,1995,45,Legal,49,PH,Sagud-Bahley
Confidential Agent,Rebekkah Cocks,2009,29,Support,70,PH,Santo Domingo
Summer with Monika (Sommaren med Monika),Darrin Childerley,2005,11,Accounting,88,AR,General Manuel J. Campos
"Nosferatu (Nosferatu, eine Symphonie des Grauens)",Ladonna Lampard,1999,35,Training,68,PE,Uticyacu
Simple Men,Stevie Bellham,2006,47,Legal,47,PH,Mayapusi
Freaks,Florry Glader,2005,90,Legal,35,ID,Randu
10 minutes (10 minuta),Rollo Daveridge,1997,38,Sales,38,SE,Markaryd
Party Monster,Gerty Pruvost,1984,61,Marketing,82,CU,Santiago de Cuba
"Adventures of Picasso, The (Picassos ?ventyr)",Hilde Thornton-Dewhirst,1992,42,Accounting,34,PH,Nagpandayan
"Day at the Races, A",Sansone Schumacher,1993,26,Support,30,PE,Chacapalpa
Thunder Rock,Biddie Shawl,2006,67,Research and Development,16,CU,Regla
Plutonium Circus,Rochelle Millea,2007,24,Training,83,CN,Nanxing
The Anderssons in Greece: All Inclusive,Poppy Bruniges,2011,46,Training,97,ID,Balong
Vengeance: The Story of Tony Cimo,Jan Goering,2005,100,Human Resources,63,ZA,Roodepoort
"Hunchback of Notre Dame, The",Janka Gilbert,2007,38,Product Management,76,GB,Thorpe
Peg o' My Heart,Ryley Hagart,2009,14,Marketing,47,CN,Lingbei
No Logo,Kally Cankett,1994,28,Legal,52,FM,Pisaras
If Lucy Fell,Gustaf Ambrus,2002,57,Human Resources,81,ID,Aengceleng
To.get.her,Evania Filgate,2011,53,Research and Development,75,FR,Arles
Star Wars: Episode IV - A New Hope,Lavinia Toretta,2006,88,Services,62,ID,Labuhansumbawa
Commander Hamilton (Hamilton),Adoree Aleksashin,1999,94,Services,53,KP,Hyesan-si
Cartouche,Holly-anne Crallan,2001,49,Legal,77,CZ,Tou?im
Restoration,Lorin Linnemann,1984,77,Human Resources,70,SE,Stockholm
Axed,Ivory Carvilla,1987,54,Accounting,72,CN,Xinli
"Patriot, The",Moises Fairchild,1993,79,Sales,39,ID,Kaliwates
Monsterman (Monsterimies),Sauveur Skade,2008,52,Sales,36,CN,Beizhouzi
Demon Wind,Perl Speir,2008,97,Business Development,84,SI,Velenje
"Descent: Part 2, The",Tadio Lorriman,2003,17,Sales,24,RU,Orsk
Moli?re,Timmi Hartropp,2003,99,Research and Development,56,GA,Mayumba
3 Little Ninjas and the Lost Treasure,Daniel Garrit,1993,97,Training,30,FR,Chartres
Grumpy Old Men,Gillie Scrowton,2001,87,Engineering,65,PH,San Vicente
No Turning Back,Leland Grishakov,1988,15,Business Development,25,PT,Paderne
Annie Oakley,Lanae Lynagh,1991,11,Support,74,ID,Jorok Dalam
Possible Worlds,Kitty Melross,1997,45,Human Resources,53,CN,Cishangang
Leather Jacket Love Story,Darelle Buncombe,1993,47,Human Resources,40,MA,Tiztoutine
"Delicate Balance, A",Kermie Pevsner,2000,27,Product Management,59,CA,Delson
Major League,Juditha Jepperson,1995,5,Research and Development,43,PH,Tanudan
To the Shores of Tripoli,Constantin Byrth,2004,78,Research and Development,95,UA,Vyshneve
"Pier, The (Jet?e, La)",Shea Starling,1988,2,Research and Development,39,FR,L'Union
4 Little Girls,Wylie McEntee,2007,42,Sales,77,PL,Mikstat
"Edge, The (Kray)",Merle Munson,2007,25,Engineering,94,CN,Wangmeng
21 tapaa pilata avioliitto,Anette Harewood,1990,44,Legal,67,PH,San Juan
Invitation to a Gunfighter,Vittorio Mynett,2010,81,Research and Development,26,SE,Ume?
Killing Words (Palabras encadenadas),Daryn Swoffer,1996,58,Human Resources,83,PL,S?popol
Fuck,Clayton Wolford,2008,47,Engineering,91,CN,Acheng
"Trials of Oscar Wilde, The",Arvie Fowler,1999,86,Engineering,81,PT,Lomba do Lou??o
"Yes Men Fix the World, The",Susy Attwoull,2004,36,Services,52,SE,?stersund
"Comebacks, The",Fredek Lockery,1982,33,Marketing,4,CZ,M?cholupy
Seaside (Bord de Mer),Dianna Gowdridge,1988,83,Legal,15,CN,Jingxin
21-87,Jess Roe,2009,14,Research and Development,7,MX,Cuauhtemoc
Werckmeister Harmonies (Werckmeister harm?ni?k),Kelley Kurten,1979,41,Research and Development,81,PE,Ccuntuma
"Overcoat, The (Il cappotto)",Rock Berney,2004,75,Business Development,36,NE,Tanout
"Source Family, The",Chuck Meryett,1993,41,Accounting,87,DK,K?benhavn
"Life of Emile Zola, The",Stanleigh Coorington,1992,21,Product Management,31,MX,Emiliano Zapata
"Mis?rables, Les",Lorianne Dunn,1990,50,Human Resources,69,PE,Copa
Far Out Isn't Far Enough: The Tomi Ungerer Story,Emilia Pontefract,2006,80,Training,69,CN,Nanqiao
"Baron of Arizona, The",Ancell Wilbore,1992,72,Product Management,73,CN,Haizhouwobao
Isolation,Doug Druce,2006,11,Business Development,88,CN,Maji
American Ninja 2: The Confrontation,Wyndham Mapledoore,1999,62,Engineering,52,US,Hampton
"Herod's Law (Ley de Herodes, La)",Rolland Rogans,2010,40,Engineering,50,CN,Haokou
Gun Shy,Kimbell Siss,2007,99,Accounting,29,RU,Perepravnaya
"Golden Christmas, A",Cornela Janowski,2005,4,Research and Development,4,MM,Myitkyina
"Rendez-vous d'Anna, Les (Meetings of Anna, The)",Alie Parsonson,2004,50,Services,17,TH,Si Prachan
"Macbeth (a.k.a. Tragedy of Macbeth, The)",Rodney Burgis,2012,68,Business Development,98,SE,Valbo
"Iran Job, The",Petra Rulten,1992,68,Engineering,77,PE,Mache
Pinky,Roanne Jaimez,2010,54,Marketing,96,BR,Itanha?m
Cremaster 5,Davida Priden,1996,31,Accounting,78,UA,Kostyantynivka
Shadows (Senki),Vonny Blore,1994,11,Services,20,CN,Lipu
"Promotion, The",Lusa McKeachie,2009,44,Training,2,BR,Novo Hamburgo
Lost in Space,Adamo Paschke,1989,23,Research and Development,81,GR,?no Li?sia
Born Romantic,Zacharia Bubeer,1996,70,Product Management,31,FI,Kuhmalahti
"Bridal Party in Hardanger, The (Brudeferden i Hardanger)",Ellwood Buckeridge,1993,46,Human Resources,17,KZ,Tekeli
Sunset Strip,Willdon Randles,2001,81,Support,88,US,Tallahassee
White Men Can't Jump,Bryon Dimeloe,2010,96,Research and Development,54,BR,Vacaria
This Movie Is Broken,Hildegaard Covotti,2005,16,Marketing,96,PH,Santa Lucia
Gods and Generals,Brenden Hosburn,1957,5,Human Resources,85,RU,Tyukalinsk
Bubble,Ida Breazeall,1996,98,Product Management,19,BR,Jatob?
Casualties of War,Victoir Swabey,1997,27,Human Resources,18,CN,Nianba
"Acadia Acadia?!? (L'acadie, l'Acadie)",Gilberta Merriott,1996,81,Services,26,CN,Ya?ergenchu
Sometimes They Come Back... Again,Melonie Kitter,2009,81,Business Development,34,CZ,Velk? ?jezd
Paper Clips,Van Dymott,2004,96,Marketing,7,ID,Makale
Candy,Emlen Ferris,2001,75,Marketing,35,GR,Ts?koi
Kiki's Delivery Service,Arlyn Matysiak,2008,17,Services,55,FR,Lyon
New York Cop (Ny? Y?ku no koppu),Townie Moulds,2004,65,Human Resources,49,MA,Tamorot
Fireproof,Barb Liebmann,1998,9,Support,47,CN,Gaoshi
House of Dracula,Scot Bourley,2004,62,Product Management,30,SE,Kalmar
"King of Comedy, The",Gerrard Bierman,1987,67,Product Management,81,FR,Le Mans
Meet the Spartans,Hephzibah Barensen,2012,100,Engineering,4,MX,Venustiano Carranza
Interiors,Carina Sponer,2007,27,Product Management,48,MX,Benito Juarez
Fuga de cerebros,Hilarius Brolan,2010,53,Training,52,TO,Neiafu
"Untouchables, The",Cyrill Rousel,2010,48,Services,92,US,Grand Rapids
Earth vs. The Spider,Blondelle Plank,1985,31,Research and Development,5,PE,Pocsi
Once Upon a Time in Anatolia (Bir zamanlar Anadolu'da),Nelson Gunderson,2007,73,Business Development,88,FR,Roissy Charles-de-Gaulle
Read It and Weep,Collin Giacobilio,2002,70,Services,89,BR,Timbiras
Babylon 5: A Call to Arms,Eirena Jefferies,1993,27,Sales,28,KR,Gongju
"Long Weekend, The",Mace Fermer,2007,80,Business Development,58,ZA,Lydenburg
Infernal Affairs (Mou gaan dou),Meade Hamblett,2011,84,Accounting,15,CN,Shanhou
Fired Up,Rosamund Trusslove,1955,85,Research and Development,90,CN,Yuqian
"Mating of Millie, The",Maisey Davall,1985,52,Human Resources,97,CN,Nagqu
Miracle at Oxford (True Blue),Sharlene Wingrove,2007,98,Engineering,82,US,Dallas
The War at Home,Paolina Giacomoni,1992,46,Support,19,MN,Hashaat
Children of the Corn,Walden Brookhouse,2007,7,Engineering,71,CN,Leiyang
Black Legion,Suzi Bruun,2009,92,Research and Development,46,PL,P?powo
Art and Craft,Dalston Symondson,2007,6,Marketing,80,ID,Citarik
Unspeakable Acts,Dawn Mouse,2004,60,Business Development,68,ID,Pledo
Holy Man,Philis Godar,1995,54,Human Resources,80,FI,Kaustinen
Anywhere But Here,Demetra Landsberg,2010,82,Training,27,CN,Hongsi
"39 Steps, The",Tanya Hanhard,2010,35,Marketing,93,FR,Armenti?res
Susannah of the Mounties,Cordelie Grote,2008,43,Marketing,70,MN,Avdzaga
Pigs and Battleships (Hogs and Warships) (The Flesh Is Hot) (Buta to gunkan),Kittie Burcher,2004,77,Training,16,PH,San Francisco
"Seagull's Laughter, The (M?vahl?tur)",Catlee Slark,1994,28,Product Management,15,CN,Shangqiu
Future Weather,Jillayne Byre,1997,66,Services,25,XK,Klokot
Pinky,Othelia Kulis,2000,19,Engineering,87,SO,Marka
Two-Way Stretch,Ingar Sciacovelli,1969,36,Accounting,53,RU,Priyutovo
Coriolanus,Cosme Gotthard.sf,2010,85,Sales,26,CN,Nanyi
I Could Go on Singing,Parry Bythell,1997,11,Business Development,8,CN,Qiujima
Visiting Hours,Cammie Gaul,2004,56,Support,88,PH,Agpangi
Beats Rhymes & Life: The Travels of a Tribe Called Quest,Hildegaard Moyer,2011,40,Accounting,30,CN,Da?an
Rage at Dawn,Brennan Sawney,2012,9,Human Resources,12,CA,Saint-Bruno-de-Montarville
Trapped in the Closet: Chapters 1-12,Gretel Loachhead,2001,39,Research and Development,35,TZ,Kilimatinde
Broken Blossoms or The Yellow Man and the Girl,Catha Attaway,2006,15,Support,17,RU,Izhmorskiy
Die,Darnall Hellens,2006,27,Legal,85,HN,Santa Rosa de Agu?n
Goats,Berna Bonnick,2003,30,Training,70,ID,Sukamulya
"Canterbury Tales, The (I racconti di Canterbury)",Alexia Florio,1993,80,Services,72,JP,Kogota
If You Could See What I Hear,Sebastian Wolffers,2002,64,Research and Development,19,CN,Tianqian
"Girl, The",Lulu Stanion,2008,56,Research and Development,34,NO,Oslo
Hardboiled Egg (Ovosodo),Tedman Fonso,1986,90,Legal,2,ES,Gijon
Hellboy II: The Golden Army,Mable Cory,2011,18,Support,54,DO,Bayaguana
Sol,Nancie Baggelley,2004,16,Marketing,69,SA,Al Jar?d?yah
Katze im Sack,Neil Malkin,2008,12,Services,33,CO,Pueblo Nuevo
Sarafina!,Guthrey Emmerson,2011,12,Sales,19,PT,Alc?cer do Sal
Anchorman: The Legend of Ron Burgundy,Gilly McOnie,2009,48,Training,56,RU,Perovo
The Car,Jacklin MacKimmie,2003,29,Training,1,BA,Donja Dubica
Fat Albert,Mile Geekie,2006,55,Business Development,48,SY,Mas?adah
Against All Flags,Kev Speedy,2000,11,Business Development,55,CN,Anjie
Primrose Path,Andre Ivimy,2005,23,Training,87,TH,Bang Khon Thi
Mr. Warmth: The Don Rickles Project,Nathanial Bosden,1993,53,Accounting,51,CN,Shengshan
America Before Columbus,Wendel Crippell,2000,3,Human Resources,47,CN,Yangjiaqiao
Untamed Youth,Wilden Windrass,2006,90,Product Management,39,RU,Priyutovo
Typhoon (Tae-poong),Ariela Rennock,2011,27,Product Management,7,AF,Bala Murghab
"Indian Runner, The",Leigh Shave,2008,42,Marketing,39,KH,Stung Treng
"Big City, The (Mahanagar)",Angelia Kebbell,2005,67,Accounting,50,NE,Tillab?ri
Hearts Divided,Jackson Gooch,2009,48,Research and Development,38,CN,Wenlin
Hatchet,Caterina Yelding,1997,53,Services,39,SB,Auki
Crime at the Chinese Restaurant,Lynn Olpin,1992,96,Marketing,39,AU,Launceston
"Crow, The: Wicked Prayer",Corinne O' Mulderrig,1995,13,Legal,56,CN,Yoiqag
"Householder, The (Gharbar)",Vick Fann,2011,5,Marketing,30,CN,Erdu
Hell in the Pacific,Deane Piller,1997,40,Business Development,10,LV,Riebi?i
Jackass: The Movie,Colleen Martensen,1990,68,Sales,89,EC,Cayambe
Animal Room,Briana Gregg,1991,9,Accounting,23,IR,Aleshtar
I Dream Too Much,Rich Scarisbrick,1986,1,Legal,32,ID,Majingklak
Choking Man,Park Gasticke,2001,30,Services,79,AO,N?dalatando
Frequently Asked Questions About Time Travel,Kelli Drakes,1998,52,Product Management,16,MX,El Tejocote
Cheri,Vivia Jessel,2012,37,Support,49,ID,Bugis
"Memphis Belle: A Story of a Flying Fortress, The",Charita Flacknell,2010,52,Support,80,AR,Pozo Hondo
9 Month Stretch (9 mois ferme),Sandie Knowlton,2010,43,Sales,20,CO,Canalete
"Enforcer, The",Ira Teague,1992,100,Sales,88,CN,Shankeng
Survival Island (Three),Henry Whittier,1993,55,Business Development,36,ID,Lohayong
Keith,Krishnah Mattityahou,2009,26,Engineering,37,CN,Longcang
See This Movie,Darlleen Faithorn,1985,36,Marketing,59,CU,Cruces
Godzilla Against MechaGodzilla (Gojira tai Mekagojira),Anderea Semeniuk,2004,5,Training,90,IE,Ballina
Emmanuelle 2,Milena Romand,2006,93,Legal,92,CN,Rudong
Fandango,Kayla Readett,2009,18,Legal,14,CN,Muyi
Trainer on the Beach 2,Saraann Vedenichev,1997,9,Support,2,FR,Alfortville
"Summer Hours (Heure d'?t?, L')",Tamera Hosby,1990,44,Human Resources,50,CN,Jiangkou
Monster in a Box,Ester Jorissen,2005,43,Support,11,AF,Now Z?d
Cousins,Adelheid Godier,1996,52,Engineering,23,CA,Saint-Bruno-de-Guigues
Tremors II: Aftershocks,Claribel Burnham,2012,44,Legal,96,CN,Zhongxing
Promised Land,Heinrik Lytton,1994,52,Business Development,14,ID,Pamanukan
"Man from Snowy River, The",Theodosia Tooting,1992,89,Support,77,RU,Ramenki
Black Rock,Alyda Buye,1989,81,Product Management,55,PT,Sever do Vouga
Blackbird,Garvy Broomfield,2012,12,Marketing,16,SI,Kisovec
Stockholm East (Stockholm ?stra),Ara O'Glassane,2007,75,Marketing,56,PS,Sh?kat a? ??f?
Billy Elliot,Aileen Powe,1999,86,Research and Development,84,CN,Licheng
"O-Bi, O-Ba - The End of Civilization (O-bi, O-ba - Koniec cywilizacji)",Kristan Novak,2010,21,Sales,75,RU,Uryupinsk
Open Windows,Levey Fassman,2012,38,Engineering,98,PE,Condoroma
Machete,Tomasine Iacovaccio,2011,85,Research and Development,50,CN,Chishui
Kidnapping Mr. Heineken,Toiboid Ladlow,2000,99,Research and Development,46,NE,Tillab?ri
"Henry: Portrait of a Serial Killer, Part 2",Lucian McCrisken,1993,69,Legal,13,ID,Seren Barat
Heart of Dragon (Long de xin),Hyman Dyte,2013,87,Legal,11,LK,Sri Jayewardenepura Kotte
"Girls, Les",Aggie Berrigan,2003,78,Services,66,CN,Tangjiawan
"Brasher Doubloon, The",Meredith Durbyn,2007,54,Legal,92,PT,Vila Boa do Bispo
Herb & Dorothy,Susy Schall,2012,55,Sales,50,CN,Xuancheng
"Family, The (Famiglia, La)",Binny Chalfont,1997,58,Training,74,CZ,?enov
Blind Pig Who Wants to Fly (Babi buta yang ingin terbang),Eberto Finkle,2012,76,Product Management,55,PE,Pucacaca
Just Write,Kathe Abate,2007,45,Human Resources,58,MN,Shiree
Passionada,Claiborn Boyce,1996,43,Engineering,24,FR,Paris 14
Fat Albert,Stanleigh Penwright,1997,17,Support,86,GR,Oin?fyta
"Black Camel, The (Charlie Chan in the Black Camel)",Hermine Van Der Weedenburg,2003,88,Services,13,GT,San Crist?bal Totonicap?n
Synchromy,Trudi Lacelett,1997,40,Human Resources,10,ID,Karangbungur
The Walking Hills,Jenda Barrick,1988,24,Product Management,69,CL,Nacimiento
To Die For,Farand Brolechan,2001,74,Product Management,37,ID,Cisaro
"Legend of Bagger Vance, The",Ryon Jerram,2012,65,Legal,42,CN,Gancheng
Fall of the Republic: The Presidency of Barack H. Obama,Berti Munn,1998,19,Product Management,7,ID,Krajan Tanjungrejo
"Ward, The",Michal Ivanyushkin,1986,94,Engineering,49,CN,Jizhou
"Man in the Iron Mask, The",Logan Guerola,1999,20,Support,49,UA,Mukacheve
Teenage Mutant Ninja Turtles III,Rooney Kopf,2002,12,Accounting,21,PL,Ciechocin
Berlin Express,Maisie Pinney,2012,43,Accounting,53,CO,Mariquita
"Paralyzing Fear: The Story of Polio in America, A",Floyd Wedon,2003,77,Sales,89,CA,Magog
"Devil's Ground, The",Halsy Reynolds,1993,50,Research and Development,35,RU,Lesnoy
A Gathering of Eagles,Lewiss Barde,1996,82,Support,62,TG,Bafilo
Penelope,Trumaine Meriguet,2009,17,Training,13,VN,Thanh Xu?n
Superman,Sammie Folshom,1994,98,Sales,39,BR,Fernando de Noronha (Distrito Estadual)
"Crimson Rivers 2: Angels of the Apocalypse (Rivi?res pourpres II - Les anges de l'apocalypse, Les)",Donnie Vala,2002,93,Marketing,62,CN,Lixi
Creator,Adams Scatchar,2001,54,Training,56,BG,Berkovitsa
"Unknown Soldier, The (Tuntematon sotilas)",Gennifer Ince,1992,9,Business Development,2,SE,Perstorp
Harum Scarum,Lenna Dawidowsky,1998,85,Legal,100,CN,Biyong
Incident at Blood Pass (Machibuse) (Ambush),Phineas Raper,2009,97,Marketing,5,ID,Karangnongko
Seal Team Eight: Behind Enemy Lines,Berry Foulcher,2001,87,Legal,99,BY,Byerazino
"Goodbye Girl, The",Napoleon Divina,2003,36,Sales,11,PT,Espinho
Hallelujah!,Read Margery,2011,42,Research and Development,35,AL,Vlor?
Saturn 3,Uta Heino,1998,80,Sales,48,CO,Acac?as
Inventing the Abbotts,Ayn Beazer,2006,85,Sales,52,FM,Nukuoro
Matrimonial Comedy (Komedia malzenska),Jo-anne Benettolo,2004,27,Accounting,56,LV,Ber?i
Victim,Alethea Sitch,2010,12,Research and Development,58,US,Los Angeles
Nora's Will (Cinco d?as sin Nora),Claretta Nollet,2005,17,Marketing,14,AF,?sm?r
Bloodline,Maddi Fleming,2009,32,Accounting,96,PK,Hujra
Thieves by Law (Ganavim Ba Hok),Clarette Rablan,2001,39,Engineering,64,CN,Ganyi
Southern Comfort,Arney Besque,2006,7,Accounting,87,KG,Sulyukta
"World According to Monsanto, The (monde selon Monsanto, Le)",Tabb Exall,2001,74,Support,15,MM,Pyay
Seduced and Abandoned (Sedotta e abbandonata),Paxton Samuels,1991,56,Legal,26,PL,Sadkowice
"Grand Budapest Hotel, The",Neda Bunston,2008,3,Product Management,66,CN,Lingyuan
Boy Meets Boy,Cello Raimbauld,2012,16,Training,67,PK,Minchin?b?d
Hunger,Wilburt Ducket,2004,11,Marketing,32,AL,Krutja e Poshtme
Vivre sa vie: Film en douze tableaux (My Life to Live),Mohammed Collihole,2012,38,Sales,32,PT,Casal do Relvas
Eros (Men and Women) (Noite Vazia),Charmine Need,2006,24,Sales,84,CN,Zhanlong
"Wreck of the Mary Deare, The",Karrah Giocannoni,1992,97,Human Resources,60,CN,Bailiang
Medora,Terrel Howling,1989,64,Legal,16,CZ,Li?ov
Odette Toulemonde,Delcina Henrion,1999,70,Legal,74,MX,Las Palmas
Savage Grace,Joly Condict,2011,8,Sales,32,CN,Jiehu
Girl on a Bicycle,Derwin Garthland,1992,42,Services,63,PK,Bad?n
Hello Down There,Carena Mulmuray,1990,82,Services,67,CN,Pingxiang
That Obscure Object of Desire (Cet obscur objet du d?sir),Mendy Bountiff,2001,72,Accounting,27,FR,Nanterre
Float,Lazare Kreuzer,2008,17,Sales,41,PT,Fornos
I Stand Alone (Seul contre tous),Eldredge Standbrook,2011,27,Legal,5,ID,Sukamaju
Plunkett & MaCleane,Jess Millery,1986,14,Support,17,HN,Amapala
Shadows of Our Forgotten Ancestors (Tini zabutykh predkiv),Gram Mangenet,1994,59,Accounting,35,HN,Marcala
Live Music,Willabella Childes,2008,59,Engineering,73,JP,Iwatsuki
Head On,Falito Girke,1992,41,Human Resources,54,CZ,Mikul?ovice
"City of Your Final Destination, The",Teodor Cluely,1992,43,Legal,26,CN,Laifang
Tribute,Magdaia Cota,2012,68,Services,63,US,Lancaster
Exam,Alene Shiel,1993,1,Business Development,69,CN,Pu?an
Die Hard,Terri-jo Hartright,2000,45,Services,26,CN,Xishaping
